"Title","City","State","Group","Ideology","Headquarters","Statewide","Year"
"2nd Amendment Patches.com","Halltown","Missouri","","Antigovernment Movement","","","2022"
"AC Skins","Atlantic City","New Jersey","","Racist Skinhead ","","","2022"
"AC Skins","","California","","Racist Skinhead ","","Yes","2022"
"AC Skins","","Tennessee","","Racist Skinhead ","","Yes","2022"
"ACT for America","Los Angeles","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Mission Viejo","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","San Fernando Valley","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","San Gabriel Valley","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Santa Clarita","California","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Bear","Delaware","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Heathrow","Florida","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Des Plaines","Illinois","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Metairie","Louisiana","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Houston","Texas","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Vancouver","Washington","ACT for America ","Anti-Muslim","","","2022"
"ACT for America","Washington","District of Columbia","ACT for America ","Anti-Muslim","Yes","","2022"
"ACT for America","","Connecticut","ACT for America ","Anti-Muslim","","Yes","2022"
"ACTBAC NC","Snow Camp","North Carolina","","Neo-Confederate","Yes","","2022"
"Active Club","","North Carolina","","White Nationalist ","","Yes","2022"
"Active Club","","Ohio","","White Nationalist ","","Yes","2022"
"Active Club","","Oregon","","White Nationalist ","","Yes","2022"
"Active Club","","Tennessee","","White Nationalist ","","Yes","2022"
"AFA of Indiana","Indianapolis","Indiana","","Anti-LGBTQ","","","2022"
"Affirmative Right","Atlanta","Georgia","","White Nationalist ","Yes","","2022"
"Al Moroccan Empire at New Jersey State Republic","","New Jersey","","Antigovernment Movement","Yes","Yes","2022"
"Alabama Parents Involved in Education","","Alabama","","Antigovernment Movement","","Yes","2022"
"Alaska Parents Involved in Education","","Alaska","","Antigovernment Movement","","Yes","2022"
"AlertAmerica.News","Hauppauge","New York","","Anti-Muslim","Yes","","2022"
"All Scripture Baptist Church","Knoxville","Tennessee","","Anti-LGBTQ","Yes","","2022"
"Alliance Defending Freedom","Scottsdale","Arizona","Alliance Defending Freedom","Anti-LGBTQ","Yes","","2022"
"Alt-Market.com","Pittsburgh","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"Ambassadors of Christ","Chicago","Illinois","","General Hate ","","","2022"
"Ambassadors of Christ","Brooklyn","New York","","General Hate ","Yes","","2022"
"America First Foundation","Saint Petersburg","Florida","","White Nationalist ","","","2022"
"America First Foundation","Berwyn","Illinois","","White Nationalist ","Yes","","2022"
"America's Remedy","Charlotte","North Carolina","","Antigovernment Movement","","","2022"
"America's Survival, Inc.","Owings","Maryland","","Antigovernment Movement","Yes","","2022"
"American Border Patrol","Sierra Vista","Arizona","American Border Patrol/American Patrol","Anti-Immigrant","Yes","","2022"
"American Christian Dixie Knights of the Ku Klux Klan","Philadelphia","Pennsylvania","","Ku Klux Klan ","","","2022"
"American College of Pediatricians","Gainesville","Florida","American College of Pediatricians","Anti-LGBTQ","Yes","","2022"
"American Common Law Academy","Pittsburgh","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"American Defense Skinheads","","Illinois","","Racist Skinhead ","","Yes","2022"
"American Defense Skinheads","","Pennsylvania","","Racist Skinhead ","","Yes","2022"
"American Family Association","Franklin","Pennsylvania","American Family Association","Anti-LGBTQ","","","2022"
"American Family Association","Tupelo","Mississippi","American Family Association","Anti-LGBTQ","Yes","","2022"
"American Free Press","Upper Marlboro","Maryland","","General Hate ","Yes","","2022"
"American Freedom Alliance","Encino","California","","General Hate ","Yes","","2022"
"American Freedom Defense Initiative","New York City","New York","","Anti-Muslim","Yes","","2022"
"American Freedom Law Center","Ann Arbor","Michigan","","Anti-Muslim","Yes","","2022"
"American Freedom Network","Johnstown","Colorado","","Antigovernment Movement","Yes","","2022"
"American Freedom News","Hampton Twp","Pennsylvania","","White Nationalist ","Yes","","2022"
"American Freedom Party","New York","New York","American Freedom Party","White Nationalist ","","","2022"
"American Freedom Party","Los Angeles","California","American Freedom Party","White Nationalist ","Yes","","2022"
"American Front","","Washington","","Racist Skinhead ","","Yes","2022"
"American Futurist","Denver","Colorado","","Neo-Nazi","Yes","","2022"
"American Futurist","","Michigan","","Neo-Nazi","","Yes","2022"
"American Futurist","","Ohio","","Neo-Nazi","","Yes","2022"
"American Immigration Control Foundation/Americans for Immigration Control","Monterey","Virginia","","Anti-Immigrant","Yes","","2022"
"American Meeting Group","Austin","Texas","","Antigovernment Movement","Yes","","2022"
"American Meeting Group","","Wisconsin","","Antigovernment Movement","","Yes","2022"
"American National Socialist Party","","Texas","","Neo-Nazi","","Yes","2022"
"American Nazi Party","","New Hampshire","","Neo-Nazi","","Yes","2022"
"American Patriot Party","Ashland","Oregon","","Antigovernment Movement","Yes","","2022"
"American Patriot Vanguard","Rio Rancho","New Mexico","","Antigovernment Movement","Yes","","2022"
"American Patriot Vanguard","","California","","Antigovernment Movement","","Yes","2022"
"American Patriot Vanguard","","Illinois","","Antigovernment Movement","","Yes","2022"
"American Patriot Vanguard","","Indiana","","Antigovernment Movement","","Yes","2022"
"American Patriot Vanguard","","Minnesota","","Antigovernment Movement","","Yes","2022"
"American Patriots Three Percent","","Utah","","Antigovernment Movement","","Yes","2022"
"American Patriots Three Percent","","Pennsylvania","","Antigovernment Movement","Yes","Yes","2022"
"American Police Officers Alliance","Arlington","Virginia","","Antigovernment Movement","Yes","","2022"
"American Policy Center","Warrenton","Virginia","","Antigovernment Movement","","","2022"
"American Reformation Front","","Texas","","General Hate ","Yes","Yes","2022"
"American Regulators","Goshen","Ohio","","Antigovernment Movement","Yes","","2022"
"American Renaissance/New Century Foundation","Oakton","Virginia","American Renaissance","White Nationalist ","Yes","","2022"
"American States Assembly","","Ohio","","Antigovernment Movement","","Yes","2022"
"American Vision","Powder Springs","Georgia","","Anti-LGBTQ","Yes","","2022"
"Americans for Legal Immigration (ALIPAC)","Raleigh","North Carolina","","Anti-Immigrant","Yes","","2022"
"Americans for Truth About Homosexuality","Columbus","Ohio","","Anti-LGBTQ","Yes","","2022"
"Amerikaner","","South Dakota","","White Nationalist ","Yes","Yes","2022"
"Antelope Hill Publishing","Green Lane","Pennsylvania","","White Nationalist ","Yes","","2022"
"Arizona Border Recon","Phoenix","Arizona","","Antigovernment Movement","","","2022"
"Arkansas Moms for America","","Arkansas","","Antigovernment Movement","","Yes","2022"
"Arkansas Parents Involved in Education","","Arkansas","","Antigovernment Movement","","Yes","2022"
"Arktos Media","New York","New York","","White Nationalist ","Yes","","2022"
"Army of Israel","","Missouri","","General Hate ","Yes","Yes","2022"
"Aryan Freedom Network","","Texas","","Neo-Nazi","Yes","Yes","2022"
"Aryan National Army","","New York","","Neo-Nazi","","Yes","2022"
"Aryan Nations - Church of Jesus Christ Christian","","California","","Neo-Nazi","","Yes","2022"
"Aryan Nations - Church of Jesus Christ Christian","","Ohio","","Neo-Nazi","","Yes","2022"
"Aryan Nations - Church of Jesus Christ Christian","","Arizona","Aryan Nations","Neo-Nazi","Yes","Yes","2022"
"Asatru Folk Assembly","Northern","Ohio","Asatru Folk Assembly","Neo-Völkisch","","","2022"
"Asatru Folk Assembly","Southern","Ohio","Asatru Folk Assembly","Neo-Völkisch","","","2022"
"Asatru Folk Assembly","","Alabama","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Alaska","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Arizona","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Arkansas","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Colorado","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Florida","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Georgia","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Idaho","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Illinois","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Indiana","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Kentucky","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Maine","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Minnesota","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Missouri","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Nevada","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","North Carolina","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","North Dakota","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Oklahoma","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Oregon","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Pennsylvania","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","South Carolina","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Tennessee","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Texas","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Virginia","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Washington","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","West Virginia","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","Wisconsin","Asatru Folk Assembly","Neo-Völkisch","","Yes","2022"
"Asatru Folk Assembly","","California","Asatru Folk Assembly","Neo-Völkisch","Yes","Yes","2022"
"ASN Study Guide & University (American State Nationals)","","California","","Antigovernment Movement","","Yes","2022"
"ASN Study Guide & University (American State Nationals)","","New Jersey","","Antigovernment Movement","","Yes","2022"
"ASN Study Guide & University (American State Nationals)","","Oregon","","Antigovernment Movement","","Yes","2022"
"ASN Study Guide & University (American State Nationals)","","Pennsylvania","","Antigovernment Movement","","Yes","2022"
"ASN Study Guide & University (American State Nationals)","","Virginia","","Antigovernment Movement","","Yes","2022"
"ASN Study Guide & University (American State Nationals)","","Wisconsin","","Antigovernment Movement","","Yes","2022"
"Assembly of Christian Israelites","Milford","Ohio","","Christian Identity ","Yes","","2022"
"ATLAH Media Network","New York","New York","","Anti-LGBTQ","Yes","","2022"
"AVOW (Another Voice of Warning)","Rigby","Idaho","","Antigovernment Movement","","","2022"
"AZ Active Club","","Arizona","","White Nationalist ","","Yes","2022"
"AZ Patriots","","Arizona","","Anti-Immigrant","Yes","Yes","2022"
"Bedford County Militia","Bedford","Virginia","","Antigovernment Movement","Yes","","2022"
"Berks County Patriots","Blandon","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"Big Sky Active Club","","Montana","","White Nationalist ","","Yes","2022"
"Bill Keller Ministries","Saint Petersburg","Florida","","General Hate ","Yes","","2022"
"Black Metal Cult Records","Phoenix","Arizona","","Hate Music ","Yes","","2022"
"Black Riders Liberation Party","Los Angeles","California","","General Hate ","Yes","","2022"
"Blood River Radio","Bartlett","Tennessee","","White Nationalist ","Yes","","2022"
"Bomb Islam","Phoenix","Arizona","","General Hate ","Yes","","2022"
"Border Network News","El Paso","Texas","","Antigovernment Movement","","","2022"
"Brotherhood of Light Recordings","","California","","Hate Music ","Yes","Yes","2022"
"California Parents Involved in Education","","California","","Antigovernment Movement","","Yes","2022"
"California State Militia","Central","California","","Antigovernment Movement","","","2022"
"California State Militia","Los Angeles","California","","Antigovernment Movement","","","2022"
"Californians for Population Stabilization","Ventura","California","","Anti-Immigrant","Yes","","2022"
"Camp Constitution","Charlotte","North Carolina","","Antigovernment Movement","Yes","","2022"
"Carlisle Light Infantry","Carlisle","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"carolynyeager.net","Kerrville","Texas","","Antisemitism","Yes","","2022"
"Catholic Apologetics International","Greencastle","Pennsylvania","","Radical Traditional Catholicism ","Yes","","2022"
"Catholic Family News/Catholic Family Ministries, Inc.","Niagara Falls","New York","","Radical Traditional Catholicism ","Yes","","2022"
"Center for Family and Human Rights (C-FAM)","New York","New York","","Anti-LGBTQ","Yes","","2022"
"Center for Immigration Studies","Washington","District of Columbia","Center for Immigration Studies","Anti-Immigrant","Yes","","2022"
"Center for Security Policy","Washington","District of Columbia","Center for Security Policy","Anti-Muslim","Yes","","2022"
"Center for Self Governance","Republic","Washington","","Antigovernment Movement","Yes","","2022"
"Chalcedon Foundation","Vallecito","California","","Anti-LGBTQ","Yes","","2022"
"Chick Publications","Ontario","California","","General Hate ","Yes","","2022"
"Christ or Chaos","Corsicana","Texas","","Radical Traditional Catholicism ","Yes","","2022"
"Christ the King the Reformed Church","Charlotte","Michigan","","White Nationalist ","","","2022"
"Christian Action Network","Forest","Virginia","","General Hate ","Yes","","2022"
"Christian Revival Center","Harrison","Arkansas","Knights of the Ku Klux Klan","Ku Klux Klan ","","","2022"
"Christogenea","Panama City Beach","Florida","","Christian Identity ","Yes","","2022"
"Church Militant/St. Michael's Media","Ferndale","Michigan","","Anti-LGBTQ","Yes","","2022"
"Church of Aryanity/Order of the Western Knights Templar","","Kentucky","","Neo-Nazi","","Yes","2022"
"Church of Israel","Schell City","Missouri","","Christian Identity ","Yes","","2022"
"Citizens for National Security","Lake Worth","Florida","","Anti-Muslim","Yes","","2022"
"Citizens Organized to Restore Rights","Fall River","Massachusetts","","Antigovernment Movement","Yes","","2022"
"Clemens and Blair, LLC","Hilton Head","South Carolina","","Antisemitism","","","2022"
"Clockwork Crew","","California","","White Nationalist ","","Yes","2022"
"Cold Dead Hands 2nd Amendment Advocacy Group","Greenville","Texas","","Antigovernment Movement","Yes","","2022"
"Colorado Alliance for Immigration Reform","Lakewood","Colorado","","Anti-Immigrant","Yes","","2022"
"Colorado Jural Assembly","Arapahoe County","Colorado","","Antigovernment Movement","Yes","","2022"
"Colorado Jural Assembly","","Colorado","","Antigovernment Movement","","Yes","2022"
"Colorado Parents Involved in Education","","Colorado","","Antigovernment Movement","","Yes","2022"
"Committee for Open Debate on the Holocaust","York","Pennsylvania","","Antisemitism","","","2022"
"Concerned Christian Citizens","Temple","Texas","","Anti-LGBTQ","Yes","","2022"
"Confederate Hammerskins","","North Carolina","","Racist Skinhead ","","Yes","2022"
"Connecticut Parents Involved in Education","","Connecticut","","Antigovernment Movement","","Yes","2022"
"Connecting the Dots","Chicago","Illinois","","Antigovernment Movement","Yes","","2022"
"Constitution Party","Apache Junction","Arizona","","Antigovernment Movement","","","2022"
"Constitution Party","San Leandro","California","","Antigovernment Movement","","","2022"
"Constitution Party","Arvada","Colorado","","Antigovernment Movement","","","2022"
"Constitution Party","Jupiter","Florida","","Antigovernment Movement","","","2022"
"Constitution Party","Woodstock","Georgia","","Antigovernment Movement","","","2022"
"Constitution Party","Wailuku","Hawaii","","Antigovernment Movement","","","2022"
"Constitution Party","Coeur D'Alene","Idaho","","Antigovernment Movement","","","2022"
"Constitution Party","Redwood Falls","Minnesota","","Antigovernment Movement","","","2022"
"Constitution Party","Seminary","Mississippi","","Antigovernment Movement","","","2022"
"Constitution Party","Piedmont","Missouri","","Antigovernment Movement","","","2022"
"Constitution Party","Cole County","Missouri","","Antigovernment Movement","","","2022"
"Constitution Party","Pulaski County","Missouri","","Antigovernment Movement","","","2022"
"Constitution Party","Auburn","New Hampshire","","Antigovernment Movement","","","2022"
"Constitution Party","Grants Pass","Oregon","","Antigovernment Movement","","","2022"
"Constitution Party","Taylors","South Carolina","","Antigovernment Movement","","","2022"
"Constitution Party","Fort Worth","Texas","","Antigovernment Movement","","","2022"
"Constitution Party","Newport News","Virginia","","Antigovernment Movement","","","2022"
"Constitution Party","Milwaukee","Wisconsin","","Antigovernment Movement","","","2022"
"Constitution Party","Hartville","Wyoming","","Antigovernment Movement","","","2022"
"Constitution Party","Lancaster County","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"Constitution Party (Independent American Party)","Elko","Nevada","","Antigovernment Movement","","","2022"
"Constitution Party (U.S. Taxpayers Party of Michigan)","Grand Rapids","Michigan","","Antigovernment Movement","","","2022"
"Constitution Party of Illinois","Springfield","Illinois","","Antigovernment Movement","","","2022"
"Constitution Party of Indiana","Bloomfield","Indiana","","Antigovernment Movement","","","2022"
"Constitution Party of Iowa","Pleasant Hill","Iowa","","Antigovernment Movement","","","2022"
"Constitution Party of Maryland","Rockville","Maryland","","Antigovernment Movement","","","2022"
"Constitution Party of New York","Buffalo","New York","","Antigovernment Movement","","","2022"
"Constitution Party of Ohio","New Lebanon","Ohio","","Antigovernment Movement","","","2022"
"Constitution Party of Pennsylvania","Lancaster","Pennsylvania","","Antigovernment Movement","","","2022"
"Constitution Party of Utah","Bountiful","Utah","","Antigovernment Movement","","","2022"
"Constitution Party of West Virginia","Weston","West Virginia","","Antigovernment Movement","","","2022"
"Constitutional Coalition of NYS","Cheektowaga","New York","","Antigovernment Movement","Yes","","2022"
"Constitutional Law Group","San Antonio","Texas","","Antigovernment Movement","","","2022"
"Constitutional Rights PAC","Mc Lean","Virginia","","Antigovernment Movement","Yes","","2022"
"Constitutional Sheriffs and Peace Officers Association","Higley","Arizona","","Antigovernment Movement","","","2022"
"Constitutional Sheriffs and Peace Officers Association","Citrus Heights","California","","Antigovernment Movement","","","2022"
"Constitutional Sheriffs and Peace Officers Association","North","Texas","","Antigovernment Movement","","","2022"
"Cottonwood MIlitia","Cottonwood","California","","Antigovernment Movement","Yes","","2022"
"Council of Conservative Citizens","Potosi","Missouri","Council of Conservative Citizens","White Nationalist ","Yes","","2022"
"Counter Jihad Coalition","Santa Monica","California","","Anti-Muslim","Yes","","2022"
"Counter-Currents Publishing","San Francisco","California","","White Nationalist ","Yes","","2022"
"Courage is a Habit","","Indiana","","Antigovernment Movement","Yes","Yes","2022"
"Covenant People's Ministry","Brooks","Georgia","","Christian Identity ","Yes","","2022"
"Cowboys Motorcycle Club Idaho","","Idaho","","Antigovernment Movement","","Yes","2022"
"Culture Wars/Fidelity Press","South Bend","Indiana","","Radical Traditional Catholicism ","Yes","","2022"
"Cultures In Context Incorporated/Turning Point Project","Ave Maria","Florida","","Anti-Muslim","Yes","","2022"
"D. James Kennedy Ministries","Fort Lauderdale","Florida","","Anti-LGBTQ","Yes","","2022"
"Dakota Prairie Asatru","Hettinger","North Dakota","","Neo-Völkisch","Yes","","2022"
"David Horowitz Freedom Center","Sherman Oaks","California","","Anti-Muslim","Yes","","2022"
"Defense Distributed","Austin","Texas","","Antigovernment Movement","Yes","","2022"
"Delaware Parents Involved in Education","","Delaware","","Antigovernment Movement","","Yes","2022"
"Discount Book Distributors/The Patriot Depot","Powder Springs","Georgia","","Antigovernment Movement","","","2022"
"Dixie Giftshop","","Tennessee","","General Hate ","","Yes","2022"
"Dixie Republic","Travelers Rest","South Carolina","","Neo-Confederate","Yes","","2022"
"DNVF Records","Shawnee on Delaware","Pennsylvania","","Hate Music ","Yes","","2022"
"Dominion Active Club","","Virginia","","White Nationalist ","Yes","Yes","2022"
"Eagle Forum","Birmingham","Alabama","","Antigovernment Movement","","","2022"
"Eagle Forum","Santa Rosa","California","","Antigovernment Movement","","","2022"
"Eagle Forum","Orange County","California","","Antigovernment Movement","","","2022"
"Eagle Forum","Brighton","Colorado","","Antigovernment Movement","","","2022"
"Eagle Forum","Elko","Nevada","","Antigovernment Movement","","","2022"
"Eagle Forum","Malvern","Ohio","","Antigovernment Movement","","","2022"
"Eagle Forum","Oklahoma City","Oklahoma","","Antigovernment Movement","","","2022"
"Eagle Forum","Dallas","Texas","","Antigovernment Movement","","","2022"
"Eagle Forum","Spring","Texas","","Antigovernment Movement","","","2022"
"Eagle Forum","South Jordan","Utah","","Antigovernment Movement","","","2022"
"Eagle Forum","Lynden","Washington","","Antigovernment Movement","","","2022"
"Eagle Forum","Alton","Illinois","","Antigovernment Movement","Yes","","2022"
"Eagle Forum","","Missouri","","Antigovernment Movement","","Yes","2022"
"Eagle Forum","","Nebraska","","Antigovernment Movement","","Yes","2022"
"East Coast Knights of the True Invisible Empire","","Pennsylvania","","Ku Klux Klan ","Yes","Yes","2022"
"Easter Tidings/Carolyn Emerick","Rochester","New York","","Neo-Völkisch","Yes","","2022"
"Educate Yourself","Costa Mesa","California","","Antigovernment Movement","","","2022"
"Education First Alliance","Apex","North Carolina","","Antigovernment Movement","Yes","","2022"
"Education Veritas","Alpharetta","Georgia","","Antigovernment Movement","Yes","","2022"
"Embassy of Heaven","Stayton","Oregon","","Antigovernment Movement","","","2022"
"Empire Washitaw de Dugdahmoundyah","Richwood","Louisiana","","Antigovernment Movement","","","2022"
"Euro Folk Radio","Chicago","Illinois","","Christian Identity ","Yes","","2022"
"European-American Evangelistic Crusades","Sheridan","California","","General Hate ","Yes","","2022"
"Evergreen","Bedford","Pennsylvania","","White Nationalist ","Yes","","2022"
"Exodus/Americanus","Floyds Knobs","Indiana","","White Nationalist ","Yes","","2022"
"Faith Education Commerce (FEC United)","Denver","Colorado","","Antigovernment Movement","","","2022"
"Faith Education Commerce (FEC United)","Grosse Pointe","Michigan","","Antigovernment Movement","","","2022"
"Faith Education Commerce (FEC United)","Douglas County","Colorado","","Antigovernment Movement","Yes","","2022"
"Faith2Action","North Royalton","Ohio","","Anti-LGBTQ","Yes","","2022"
"Faithful Word Baptist Church","Tucson","Arizona","","Anti-LGBTQ","","","2022"
"Faithful Word Baptist Church","Tempe","Arizona","","Anti-LGBTQ","Yes","","2022"
"Family Research Council","Washington","District of Columbia","Family Research Council","Anti-LGBTQ","Yes","","2022"
"Family Research Institute","Colorado Springs","Colorado","","Anti-LGBTQ","Yes","","2022"
"Family Watch International","Gilbert","Arizona","Family Watch International","Anti-LGBTQ","Yes","","2022"
"Federation for American Immigration Reform","Washington","District of Columbia","Federation for American Immigration Reform","Anti-Immigrant","Yes","","2022"
"Fellowship of God's Covenant People","Union","Kentucky","","Christian Identity ","Yes","","2022"
"Fight White Genocide","Columbia","South Carolina","","White Nationalist ","Yes","","2022"
"Firm 22","","Florida","","Racist Skinhead ","","Yes","2022"
"First State Pathfinders","Odessa","Delaware","","Antigovernment Movement","Yes","","2022"
"First Works Baptist Church","Anaheim","California","","Anti-LGBTQ","Yes","","2022"
"Florida Family Association","Tampa","Florida","","Anti-Muslim","Yes","","2022"
"Florida Parents Involved in Education","","Florida","","Antigovernment Movement","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Colorado","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Idaho","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Michigan","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Minnesota","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Nebraska","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","North Dakota","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Texas","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Washington","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Wisconsin","","Neo-Nazi","","Yes","2022"
"Folks Front/Folkish Resistance Movement","","Arizona","","Neo-Nazi","Yes","Yes","2022"
"Fort Worth Dallas TX Chapter","Fort Worth","Texas","","Antigovernment Movement","","","2022"
"Fortress of Faith","Bellingham","Washington","","Anti-Muslim","Yes","","2022"
"Foundation for Advocating Christian Truth/Acts 17 Apologetics","Bronx","New York","","Anti-Muslim","","","2022"
"Free North Carolina","Cape Carteret","North Carolina","","Antigovernment Movement","Yes","","2022"
"Free PA - Lancaster Co","Lancaster","Pennsylvania","","Antigovernment Movement","Yes","","2022"
"Free PA - Montgmery Co","Montgomery","Pennsylvania","","Antigovernment Movement","","","2022"
"Freedom Bound International","Emery","South Dakota","","Antigovernment Movement","","","2022"
"Freedom Coalition","Sacramento","California","","Antigovernment Movement","","","2022"
"Freedom Coalition","Butte County","California","","Antigovernment Movement","","","2022"
"Freedom Coalition","Nevada County","California","","Antigovernment Movement","","","2022"
"Freedom Coalition","Placer County","California","","Antigovernment Movement","","","2022"
"Freedom Coalition","Shasta County","California","","Antigovernment Movement","","","2022"
"Freedom Coalition","Live Oak","California","","Antigovernment Movement","Yes","","2022"
"Freedom First Society","Colorado Springs","Colorado","","Antigovernment Movement","Yes","","2022"
"Freedom From Government","Gabbs","Nevada","","Antigovernment Movement","","","2022"
"Freedom Law School","Spring Hill","Florida","","Antigovernment Movement","","","2022"
"Freedom Rising Sun","Logan","Utah","","Antigovernment Movement","Yes","","2022"
"Freedom School","Austin","Texas","","Antigovernment Movement","","","2022"
"Freedom Yell","Ozark","Alabama","","Antigovernment Movement","","","2022"
"Front Range Active Club","","Colorado","","White Nationalist ","","Yes","2022"
"Full Haus","Purgitsville","West Virginia","","White Nationalist ","Yes","","2022"
"G416 Patriots","Meridian","Idaho","","Anti-Muslim","Yes","","2022"
"Garden State 2A Grassroots Organization","Mullica Hill","New Jersey","","Antigovernment Movement","Yes","","2022"
"Generations","Elizabeth","Colorado","","Anti-LGBTQ","Yes","","2022"
"Genesis Communication Network","Dakota County","Minnesota","","Antigovernment Movement","","","2022"
"Georgia Parents Involved in Education","","Georgia","","Antigovernment Movement","","Yes","2022"
"Gideon Knox Group, MT Daily Gazette","Sidney","Montana","","Antigovernment Movement","","","2022"
"Glasov Gang Productions","Los Angeles","California","","Anti-Muslim","Yes","","2022"
"Global and Theological Trends","San Antonio","Texas","","Anti-Muslim","Yes","","2022"
"Global Faith Institute","Omaha","Nebraska","","Anti-Muslim","Yes","","2022"
"Good Citizen Militia","Statewide","Arizona","","Antigovernment Movement","Yes","","2022"
"Gorilla Learning Institute","Citrus Heights","California","","Antigovernment Movement","Yes","","2022"
"Goyim Defense League","","California","","Antisemitism","Yes","Yes","2022"
"GraniteGrok","Gilford","New Hampshire","","Antigovernment Movement","Yes","","2022"
"Great Millstone","New York","New York","","General Hate ","Yes","","2022"
"Gun Owners of America","Harrisburg","Pennsylvania","","Antigovernment Movement","","","2022"
"Gun Owners of America","Springfield","Virginia","","Antigovernment Movement","Yes","","2022"
"Gun Owners of America","","Florida","","Antigovernment Movement","","Yes","2022"
"H8 Propagand Art","","Ohio","","Hate Music ","Yes","Yes","2022"
"Hawaii Parents Involved in Education","","Hawaii","","Antigovernment Movement","","Yes","2022"
"Hearth & Helm LLC","Nashville","Indiana","","Neo-Völkisch","Yes","","2022"
"Heartland Defenders","","Ohio","","Antigovernment Movement","Yes","Yes","2022"
"Heartland Patriots","","Minnesota","","White Nationalist ","","Yes","2022"
"Heterosexuals Organized for a Moral Environment (H.O.M.E.)","Downers Grove","Illinois","","Anti-LGBTQ","Yes","","2022"
"HISAdvocates.org","Costa Mesa","California","","Antigovernment Movement","","","2022"
"Honorable Sacred Knights of the Ku Klux Klan","Madison","Indiana","","Ku Klux Klan ","Yes","","2022"
"House of David","Brooklyn","New York","","General Hate ","Yes","","2022"
"House of Israel","New York","New York","","General Hate ","Yes","","2022"
"Idaho Constitutional Sheriffs","","Idaho","","Antigovernment Movement","","Yes","2022"
